winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
green,9507.0,31.69,88.0,42.0,76.0,20.0,74.0
green,10048.0,33.49333333333334,96.0,9.0,70.0,47.0,78.0
green,9686.0,32.28666666666667,98.0,6.0,82.0,29.0,85.0
yellow,11744.0,39.14666666666667,73.0,73.0,26.0,18.0,110.0
yellow,10229.0,34.096666666666664,90.0,14.0,67.0,24.0,105.0
yellow,9636.0,32.12,70.0,25.0,78.0,30.0,97.0
green,10223.0,34.07666666666667,103.0,11.0,71.0,24.0,91.0
yellow,9534.0,31.78,92.0,14.0,86.0,12.0,96.0
green,11116.0,37.053333333333335,112.0,48.0,41.0,18.0,81.0
yellow,10604.0,35.346666666666664,84.0,26.0,57.0,31.0,102.0
yellow,10078.0,33.593333333333334,73.0,56.0,60.0,15.0,96.0
green,11171.0,37.236666666666665,92.0,41.0,24.0,66.0,77.0
green,10670.0,35.56666666666667,91.0,58.0,38.0,42.0,71.0
yellow,10647.0,35.49,73.0,58.0,54.0,20.0,95.0
green,10519.0,35.06333333333333,97.0,9.0,58.0,46.0,90.0
yellow,10538.0,35.126666666666665,79.0,28.0,49.0,45.0,99.0
green,10340.0,34.46666666666667,103.0,21.0,65.0,27.0,84.0
green,11495.0,38.31666666666666,109.0,33.0,27.0,58.0,73.0
green,10619.0,35.39666666666667,95.0,21.0,56.0,47.0,81.0
yellow,10331.0,34.43666666666667,89.0,39.0,65.0,13.0,94.0
green,9506.0,31.686666666666667,79.0,48.0,66.0,46.0,61.0
yellow,10008.0,33.36,87.0,10.0,76.0,22.0,105.0
blue,9198.0,30.659999999999997,83.0,32.0,86.0,29.0,70.0
yellow,10790.0,35.96666666666667,82.0,29.0,44.0,53.0,92.0
yellow,10479.0,34.93,72.0,14.0,57.0,55.0,102.0
green,9867.0,32.89,82.0,29.0,67.0,51.0,71.0
yellow,10443.0,34.81,68.0,51.0,43.0,38.0,100.0
green,9651.0,32.17,87.0,23.0,72.0,54.0,64.0
yellow,9503.0,31.676666666666662,69.0,28.0,72.0,41.0,90.0
green,9446.0,31.486666666666668,95.0,13.0,86.0,25.0,81.0
yellow,10443.0,34.81,88.0,35.0,58.0,22.0,97.0
green,10093.0,33.64333333333333,109.0,6.0,79.0,20.0,86.0
yellow,10561.0,35.20333333333333,77.0,39.0,48.0,26.0,110.0
yellow,10519.0,35.06333333333333,83.0,45.0,57.0,19.0,96.0
yellow,10789.0,35.96333333333334,86.0,40.0,48.0,29.0,97.0
green,10355.0,34.516666666666666,111.0,16.0,60.0,40.0,73.0
yellow,10192.0,33.973333333333336,74.0,27.0,63.0,33.0,103.0
green,9454.0,31.513333333333332,91.0,13.0,90.0,25.0,81.0
green,10386.0,34.62,113.0,54.0,56.0,22.0,55.0
green,9667.0,32.22333333333333,100.0,16.0,73.0,30.0,81.0
green,9635.0,32.11666666666667,113.0,31.0,71.0,27.0,58.0
yellow,9968.0,33.22666666666667,83.0,19.0,77.0,23.0,98.0
yellow,9776.0,32.586666666666666,56.0,46.0,61.0,50.0,87.0
blue,9354.0,31.180000000000003,60.0,53.0,79.0,32.0,76.0
green,10784.0,35.946666666666665,113.0,18.0,43.0,70.0,56.0
green,11183.0,37.27666666666667,111.0,9.0,38.0,68.0,74.0
