winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
blue,3942.0,13.139999999999999,26.0,30.0,189.0,32.0,23.0
blue,3720.0,12.4,16.0,32.0,199.0,26.0,27.0
blue,5211.0,17.37,38.0,23.0,167.0,29.0,42.0
blue,4057.0,13.523333333333335,34.0,31.0,187.0,22.0,26.0
blue,3488.0,11.626666666666667,12.0,37.0,176.0,50.0,25.0
blue,3955.0,13.183333333333334,27.0,10.0,202.0,21.0,40.0
blue,4503.0,15.010000000000002,40.0,13.0,182.0,28.0,37.0
blue,4711.0,15.703333333333333,36.0,26.0,175.0,24.0,39.0
blue,4614.0,15.379999999999999,26.0,36.0,169.0,30.0,39.0
blue,4173.0,13.91,25.0,24.0,182.0,31.0,38.0
blue,3992.0,13.306666666666667,38.0,21.0,194.0,19.0,27.0
blue,3628.0,12.093333333333334,30.0,17.0,197.0,31.0,25.0
blue,4336.0,14.453333333333335,31.0,18.0,188.0,19.0,44.0
blue,3997.0,13.323333333333334,32.0,20.0,192.0,30.0,26.0
blue,4421.0,14.736666666666668,33.0,25.0,171.0,38.0,32.0
blue,4061.0,13.536666666666667,19.0,29.0,159.0,74.0,19.0
blue,3790.0,12.633333333333333,25.0,24.0,193.0,33.0,25.0
blue,3652.0,12.173333333333334,28.0,34.0,190.0,21.0,27.0
blue,4188.0,13.96,24.0,34.0,183.0,30.0,29.0
blue,4333.0,14.443333333333333,34.0,31.0,175.0,33.0,27.0
blue,4923.0,16.41,37.0,24.0,169.0,26.0,44.0
blue,3725.0,12.416666666666666,19.0,40.0,192.0,22.0,27.0
blue,4225.0,14.083333333333334,24.0,28.0,181.0,34.0,33.0
blue,5346.0,17.82,43.0,29.0,162.0,23.0,42.0
blue,3260.0,10.866666666666665,23.0,13.0,203.0,39.0,21.0
blue,4084.0,13.613333333333333,33.0,21.0,180.0,39.0,27.0
blue,4435.0,14.783333333333335,36.0,31.0,178.0,25.0,30.0
blue,4029.0,13.43,25.0,26.0,191.0,25.0,33.0
blue,3491.0,11.636666666666667,30.0,28.0,203.0,25.0,14.0
blue,3554.0,11.846666666666666,33.0,18.0,204.0,28.0,17.0
blue,3932.0,13.106666666666666,17.0,51.0,180.0,18.0,34.0
blue,4766.0,15.886666666666665,39.0,24.0,174.0,27.0,36.0
blue,4338.0,14.46,27.0,30.0,171.0,49.0,23.0
blue,4789.0,15.963333333333333,36.0,17.0,175.0,32.0,40.0
blue,4280.0,14.266666666666666,22.0,35.0,180.0,27.0,36.0
blue,4274.0,14.246666666666666,36.0,40.0,173.0,27.0,24.0
blue,4831.0,16.10333333333333,41.0,32.0,154.0,57.0,16.0
blue,4358.0,14.526666666666666,38.0,29.0,179.0,31.0,23.0
blue,4752.0,15.840000000000002,31.0,47.0,158.0,30.0,34.0
blue,3493.0,11.643333333333333,18.0,25.0,210.0,12.0,35.0
